operation,new_time,atr01/acc_x_mean,atr01/acc_x_var,atr01/acc_y_mean,atr01/acc_y_var,atr01/acc_z_mean,atr01/acc_z_var,atr02/acc_x_mean,atr02/acc_x_var,atr02/acc_y_mean,atr02/acc_y_var,atr02/acc_z_mean,atr02/acc_z_var,timestamp_mean,timestamp_var
400,1,0.697930627306273,0.22244857887330868,0.5524612546125461,0.24112704623397566,0.26300332103321034,0.23543770454448545,0.5183487084870848,0.4977044946557329,-0.39434169741697417,0.3500047087363674,0.2366416974169742,0.21214498644007115,1643502985307.7935,2.3657344955181847e+19
400,2,0.6696354243542436,0.2045639128886157,0.5490579335793359,0.2601785509646029,0.27739225092250924,0.20096601353232207,0.5086575645756458,0.510819329785158,-0.38276088560885607,0.3028742030569906,0.24882841328413285,0.23784276441191748,1643502985338.5903,2.3657344944196325e+19
400,3,0.6852261992619927,0.2025202066073527,0.5431723247232473,0.2464986380830941,0.2822070110701107,0.1908847302099222,0.49459225092250925,0.5185267273100997,-0.3756859778597786,0.29760740958042897,0.2531468634686347,0.20952236694382945,1643502985369.3875,2.3657344933206233e+19
400,4,0.7406785977859779,0.22539933554024866,0.5279749077490775,0.2136708169236025,0.27271070110701107,0.18500320340358062,0.5126014760147601,0.464016299553369,-0.3822232472324723,0.30976821090200907,0.2643583025830258,0.21854471762525624,1643502985400.1846,2.365734492222457e+19
400,5,0.7291560885608857,0.21275200128686622,0.49432656826568266,0.22213091655077236,0.27248265682656825,0.17305924751291515,0.5503752767527675,0.49808517216427495,-0.37941734317343173,0.29569052388328537,0.2393660516605166,0.2369594712136121,1643502985430.9814,2.3657344911230706e+19
400,6,0.7657250922509226,0.22338164144212116,0.4822549815498155,0.2058661621880553,0.2710280442804428,0.19258312558097593,0.5637745387453875,0.5278816181271012,-0.3651656826568266,0.28022785078092083,0.20775129151291513,0.26106122369277013,1643502985461.7786,2.3657344900247257e+19
400,7,0.7629357933579335,0.17359523126964604,0.4552749077490775,0.1924094667013804,0.2704084870848708,0.2494946614462209,0.5513904059040591,0.5365571021298347,-0.3308022140221402,0.2701576807358205,0.2041616236162362,0.23294118748476142,1643502985492.5757,2.3657344889258156e+19
400,8,0.7965852398523985,0.1773644209665164,0.44308856088560883,0.19912066657236566,0.27665461254612544,0.19365114278420123,0.5711453874538746,0.555020816043461,-0.317870110701107,0.24728167832554332,0.16292140221402213,0.22356642820691544,1643502985523.3728,2.36573448782698e+19
400,9,0.8282095940959409,0.1846801272409458,0.41482029520295205,0.21223345066065322,0.24174132841328413,0.1934095651745251,0.6025409594095941,0.5614464445012982,-0.28591439114391143,0.2135692273106464,0.10544944649446494,0.23798573169413706,1643502985554.1697,2.3657344867281752e+19
400,10,0.8562833948339483,0.21361505850102516,0.36725904059040587,0.21871575376055774,0.2303416974169742,0.20394619325488592,0.6057287822878229,0.47247068183517815,-0.2629542435424354,0.2107289008615552,0.0882420664206642,0.2390140172608992,1643502985584.9668,2.3657344856298963e+19
400,11,0.8541811808118082,0.19694199864452655,0.32258856088560883,0.25139620997977313,0.23075018450184503,0.22904257902774355,0.6015856088560886,0.5232090341254612,-0.23563025830258302,0.20788427019215527,0.04374760147601476,0.2624686994664481,1643502985615.764,2.3657344845311676e+19
400,12,0.8600856088560885,0.15696238834768356,0.2734988929889299,0.22826870648025166,0.2236169741697417,0.2295659885996993,0.6053287822878228,0.5191735767981414,-0.2034088560885609,0.19573248955090872,0.010754981549815495,0.2816904963362037,1643502985646.5608,2.3657344834324746e+19
400,13,0.8300394833948339,0.1551852562501024,0.2579981549815498,0.2428353800336202,0.23415756457564574,0.2466676216370097,0.608708856088561,0.5710814788101681,-0.18082915129151292,0.1959664488137213,0.0017774907749077491,0.2999919193803469,1643502985677.358,2.3657344823341625e+19
400,14,0.7881047970479705,0.1455675257176438,0.20024538745387455,0.21568015448790478,0.2318221402214022,0.2238097055820691,0.5878785977859778,0.4871637188735822,-0.1787538745387454,0.18627424642011756,0.015315498154981554,0.3104538424255843,1643502985708.155,2.365734481234675e+19
400,15,0.7664564575645756,0.16503817076370098,0.1667261992619926,0.23697366445920454,0.21970627306273063,0.22848602081235475,0.5817564575645756,0.4664631667637009,-0.1597516605166052,0.20168612687686213,0.040785977859778604,0.2961858198026514,1643502985738.9521,2.365734480136751e+19
400,16,0.797749815498155,0.17861449073144733,0.14525166051660515,0.2505547322101955,0.19143173431734317,0.22852714180401812,0.5731970479704797,0.4301996066579201,-0.12854428044280444,0.19581689566161004,0.02527638376383764,0.2765268267735408,1643502985769.749,2.36573447903808e+19
400,17,0.7465520295202952,0.1484689562829029,0.12895535055350554,0.2519899222583025,0.17564649446494465,0.24143736923766573,0.5645557195571955,0.40001725869864707,-0.09563616236162362,0.20104829535410687,0.03825092250922509,0.25492636569359045,1643502985800.5461,2.3657344779393806e+19
